ZIM,2025-08-01,07:00,16.04,0.18,1.13%,1.76B,1.28
PANW,2025-08-01,16:00,192.07,-13.99,-6.79%,2.5B,0.73
BTBT,2025-08-01,16:00,--,--,--,--,--
AAPL,2025-08-02,16:00,198.50,5.20,2.69%,89.2B,1.45
MSFT,2025-08-02,16:00,415.80,12.30,3.05%,62.1B,2.85
GOOGL,2025-08-02,16:00,142.60,-2.40,-1.66%,74.8B,1.23
NVDA,2025-08-03,16:00,164.10,1.22,0.75%,45.61B,0.97
TSLA,2025-08-03,16:00,245.80,-8.20,-3.23%,24.5B,0.85
META,2025-08-03,16:00,485.20,15.80,3.37%,38.2B,4.12
AMZN,2025-08-04,16:00,178.90,3.40,1.94%,155.8B,0.85
NFLX,2025-08-04,16:00,485.60,12.40,2.62%,9.8B,2.85
CRM,2025-08-04,16:00,263.97,-6.95,-2.57%,10.13B,2.52
AMD,2025-08-05,16:00,156.80,4.20,2.75%,5.8B,0.68
INTC,2025-08-05,16:00,42.30,-1.20,-2.76%,13.2B,0.35
QCOM,2025-08-05,16:00,165.40,2.60,1.60%,9.1B,2.15
ADBE,2025-08-06,16:00,485.20,8.40,1.76%,5.2B,4.25
ORCL,2025-08-06,16:00,125.60,-2.40,-1.88%,12.8B,1.45
CSCO,2025-08-06,16:00,68.76,-0.51,-0.74%,14.62B,0.91
IBM,2025-08-07,16:00,165.80,3.20,1.97%,14.2B,2.85
HPQ,2025-08-07,16:00,25.73,0.11,0.43%,13.67B,0.74
DELL,2025-08-07,16:00,127.91,1.28,1.01%,29.13B,2.19
JPM,2025-08-08,07:00,198.40,2.30,1.17%,42.8B,4.85
BAC,2025-08-08,07:00,35.60,-0.40,-1.11%,22.1B,0.75
WFC,2025-08-08,07:00,58.90,0.80,1.38%,20.8B,1.25
GS,2025-08-09,07:00,485.20,8.40,1.76%,12.2B,8.45
MS,2025-08-09,07:00,98.60,1.20,1.23%,14.8B,2.15
BLK,2025-08-09,07:00,785.40,12.60,1.63%,4.8B,10.25
JNJ,2025-08-10,07:00,165.80,2.20,1.35%,24.2B,2.85
PFE,2025-08-10,07:00,28.40,-0.60,-2.07%,12.8B,0.45
UNH,2025-08-10,07:00,485.20,8.40,1.76%,98.2B,6.85
PG,2025-08-11,07:00,165.80,2.20,1.35%,20.8B,1.85
KO,2025-08-11,07:00,58.90,0.80,1.38%,11.2B,0.75
PEP,2025-08-11,07:00,165.80,2.20,1.35%,22.8B,1.95
WMT,2025-08-12,07:00,94.86,-1.95,-2.01%,174.59B,0.73
TGT,2025-08-12,07:00,104.74,2.31,2.26%,24.86B,2.03
HD,2025-08-12,07:00,373.30,2.26,0.61%,45.48B,4.71
LOW,2025-08-12,07:00,227.91,2.34,1.04%,23.98B,4.26
COST,2025-08-13,16:00,785.40,12.60,1.63%,58.2B,4.85
TMO,2025-08-13,16:00,485.20,8.40,1.76%,42.8B,3.85
ABT,2025-08-13,16:00,165.80,2.20,1.35%,10.2B,1.85
BA,2025-08-14,07:00,485.20,8.40,1.76%,18.2B,2.85
CAT,2025-08-14,07:00,285.40,4.20,1.49%,16.8B,4.25
GE,2025-08-14,07:00,165.80,2.20,1.35%,18.2B,1.85
ZIM,2025-08-15,07:00,16.04,0.18,1.13%,1.76B,1.28
PANW,2025-08-15,16:00,192.07,-13.99,-6.79%,2.5B,0.73
BTBT,2025-08-15,16:00,--,--,--,--,--
BABA,2025-08-16,07:00,106.64,2.81,2.71%,34.85B,2.30
JD,2025-08-16,07:00,31.22,-0.38,-1.20%,46.85B,0.72
PDD,2025-08-16,07:00,104.97,-0.03,-0.03%,14.28B,1.81
NFLX,2025-08-17,16:00,485.60,12.40,2.62%,9.8B,2.85
DIS,2025-08-17,16:00,85.40,-2.60,-2.96%,22.8B,0.95
NKE,2025-08-17,16:00,98.60,1.20,1.23%,12.8B,1.25
SBUX,2025-08-18,16:00,85.40,-2.60,-2.96%,8.2B,0.95
MCD,2025-08-18,16:00,285.40,4.20,1.49%,6.8B,3.25
YUM,2025-08-18,16:00,165.80,2.20,1.35%,1.8B,1.85
V,2025-08-19,07:00,285.40,4.20,1.49%,8.2B,2.25
MA,2025-08-19,07:00,485.20,8.40,1.76%,6.2B,3.85
AXP,2025-08-19,07:00,165.80,2.20,1.35%,15.8B,2.85
XOM,2025-08-20,07:00,85.40,-2.60,-2.96%,98.2B,2.95
CVX,2025-08-20,07:00,165.80,2.20,1.35%,48.2B,3.85
COP,2025-08-20,07:00,285.40,4.20,1.49%,12.8B,2.25
MRK,2025-08-21,07:00,165.80,2.20,1.35%,14.2B,2.85
